date,value,campus
2025-05-12,92.46,rose_garden
2025-05-12,93.95,schertz
2025-05-12,95.47,sippel
2025-05-12,95.1,watts
2025-05-12,94.11,wiederstein
2025-05-12,92.78,jordan
2025-05-12,96.13,schlather
2025-05-12,93,wilder
2025-05-12,93.84,dobie
2025-05-12,92.82,corbett
2025-05-12,93.59,clemens
2025-05-12,92.36,b_steele
2025-05-12,69.11,als_elc
2025-05-12,92.48,district_avg
2025-05-19,92.07,cibolo_valley
2025-05-19,93.97,green_valley
2025-05-19,93.81,paschal
2025-05-19,93.28,rose_garden
2025-05-19,92.31,schertz
2025-05-19,94.64,sippel
2025-05-19,94.25,watts
2025-05-19,94.02,wiederstein
2025-05-19,92.56,jordan
2025-05-19,94.6,schlather
2025-05-19,92.1,wilder
2025-05-19,94.13,dobie
2025-05-19,92.57,corbett
2025-05-19,95.21,clemens
2025-05-19,90.91,b_steele
2025-05-19,65.89,als_elc
2025-05-19,91.65,district_avg
2025-05-27,90.63,cibolo_valley
2025-05-27,89.03,green_valley
2025-05-27,94.18,paschal
2025-05-27,86.67,rose_garden
2025-05-27,82.5,schertz
2025-05-27,90.82,sippel
2025-05-27,87.81,watts
2025-05-27,90.8,wiederstein
2025-05-27,88.11,jordan
2025-05-27,90.02,schlather
2025-05-27,87.82,wilder
2025-05-27,90.62,dobie
2025-05-27,90.76,corbett
2025-05-27,94.27,clemens
2025-05-27,83.37,b_steele
2025-05-27,52.05,als_elc
2025-05-27,86.84,district_avg
